final_price,list_price,bedrooms,Dens,bathrooms,size,parking,type,latitude,longitude,mean_district_income,district_code,School_min_dist_km
485000,485000,2,1,2,950,1,Condo Apt,43.7246581,-79.6154278,31771,1,0.558697414
445000,449900,2,0,2,850,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
395000,399900,1,1,1,650,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
455000,449000,2,1,2,950,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
760000,769900,3,0,3,1750,1,Detached,43.7339696,-79.600899,31771,1,0.602979037
494900,489900,2,0,2,1100,1,Condo Apt,43.7246581,-79.6154278,31771,1,0.558697414
399900,399900,1,1,2,750,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
360000,355000,1,0,1,750,1,Condo Apt,43.7246581,-79.6154278,31771,1,0.558697414
353000,356900,1,1,1,550,1,Condo Apt,43.7317441,-79.5772925,31771,1,0.584261384
473000,479900,3,0,2,1300,1,Condo Townhouse,43.7403269,-79.5940215,31771,1,0.251534788
440000,459900,2,0,1,750,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
333500,344900,1,0,1,550,1,Condo Apt,43.7317441,-79.5772925,31771,1,0.584261384
367000,395000,1,0,1,650,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
375000,379900,3,1,2,1300,1,Condo Townhouse,43.7341617,-79.5934941,31771,1,0.315174212
409000,414900,2,0,1,750,1,Condo Apt,43.7246581,-79.6154278,31771,1,0.558697414
1074000,1149000,4,3,4,2750,4,Detached,43.7343735,-79.6192632,31771,1,0.609750218
355000,369000,1,0,1,550,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
390000,399990,1,1,2,750,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
340000,349900,1,0,1,650,1,Condo Apt,43.7246581,-79.6154278,31771,1,0.558697414
393000,409999,1,1,2,650,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
415000,425000,2,0,2,850,1,Condo Apt,43.7246581,-79.6154278,31771,1,0.558697414
392000,399000,1,1,2,750,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
464000,464900,2,0,2,850,2,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
435000,464000,2,0,2,850,2,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
363000,365000,1,0,1,650,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
435000,449000,2,1,2,950,1,Condo Apt,43.7317441,-79.5772925,31771,1,0.584261384
338000,338000,3,0,1,1300,1,Condo Townhouse,43.7337506,-79.593083,31771,1,0.280627251
385000,395000,1,1,2,750,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
339500,349000,1,0,1,550,1,Condo Apt,43.7203841,-79.6032718,31771,1,1.419726181
463000,469900,3,1,3,1500,1,Condo Townhouse,43.744073,-79.6016338,31771,1,0.501301425
389000,389800,1,1,1,650,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
407000,409900,1,1,1,750,1,Condo Apt,43.7246581,-79.6154278,31771,1,0.558697414
360000,364900,1,1,1,650,1,Condo Apt,43.7317441,-79.5772925,31771,1,0.584261384
780000,799900,3,2,2,1300,7,Detached,43.721206,-79.5778372,31771,1,0.343377787
405000,406900,2,0,1,750,1,Condo Apt,43.7246745,-79.6153431,31771,1,0.56090051
400000,419999,3,0,2,1700,1,Condo Apt,43.7417616,-79.5986202,31771,1,0.504041181
734500,699000,3,3,2,1300,3,Detached,43.7247547,-79.5769593,31771,1,0.271272907
361000,367000,1,0,1,650,1,Condo Apt,43.7246581,-79.6154278,31771,1,0.558697414
395000,404901,2,1,2,1100,1,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
380000,359900,2,0,2,1100,1,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
308000,309997,2,0,1,950,1,Condo Apt,43.7477413,-79.5799221,26548,2,0.425864014
365000,384900,1,1,2,950,1,Condo Apt,43.7583999,-79.5864692,26548,2,0.748360759
380000,379900,2,0,2,950,1,Condo Apt,43.7582614,-79.5884807,26548,2,0.777795098
417000,419999,2,0,2,1100,1,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
357000,359999,1,1,1,650,1,Condo Apt,43.7582614,-79.5884807,26548,2,0.777795098
430000,439000,2,0,2,1300,2,Condo Apt,43.7495489,-79.5807504,26548,2,0.414446786
703000,719000,3,1,2,1750,3,Detached,43.7368798,-79.5860232,26548,2,0.321471223
380000,399900,2,1,2,1300,1,Condo Apt,43.7582614,-79.5884807,26548,2,0.777795098
390000,399999,2,0,2,1100,1,Condo Apt,43.7583999,-79.5864692,26548,2,0.748360759
420000,399999,2,1,2,1100,1,Condo Apt,43.751128,-79.5828727,26548,2,0.17727946
350000,359900,3,0,2,1300,1,Condo Apt,43.7477413,-79.5799221,26548,2,0.425864014
337000,334900,2,0,2,1100,1,Condo Apt,43.7438789,-79.5866374,26548,2,0.280781066
557000,559800,3,1,2,1300,1,Condo Townhouse,43.740803,-79.5924526,26548,2,0.352838065
409000,419000,2,0,2,1100,1,Condo Apt,43.7583999,-79.5864692,26548,2,0.748360759
345000,359888,3,0,2,1300,1,Condo Apt,43.7477413,-79.5799221,26548,2,0.425864014
397000,399900,2,0,2,950,1,Condo Apt,43.7592624,-79.5853418,26548,2,0.834125172
389000,389900,2,1,2,1100,1,Condo Apt,43.7590096,-79.5885685,26548,2,0.853072762
418000,424900,2,0,2,1100,2,Condo Apt,43.7583999,-79.5864692,26548,2,0.748360759
395000,399900,2,0,2,1100,1,Comm Element Condo,43.7586168,-79.5875152,26548,2,0.79035475
350000,329888,1,1,1,650,2,Condo Apt,43.7582614,-79.5884807,26548,2,0.777795098
390000,395000,2,1,2,1100,1,Condo Apt,43.7582614,-79.5884807,26548,2,0.777795098
279500,285000,2,0,1,950,1,Condo Apt,43.7477413,-79.5799221,26548,2,0.425864014
